Borrower_id,Country,Sector,Picture,LoanTerm(Months),Repayment Schedule,Pre-distributed,Listed,Currency Exchange Loss,Default Protection,English_Description,Translated,Field Partner,Borrower Count,Female Percentage,Lender Count,Country Code,Town,Geo Location,Activity,Funded Date,Loan Amount,Funded Amount,Planned Expiration Date,Status
431819,Jordan,Retail,1,18,Monthly,2012-05-17,2012-06-01,0,0,1,0,174,1,100.0,14,JO,Hay Nazal,31 36,Cosmetics Sales,XXXX,2125,700,2012-07-01,expired
431075,El Salvador,Retail,1,20,Monthly,2012-05-14,2012-06-04,N/A,0,0,1,81,1,0.0,13,SV,,13.833333 -88.916667,General Store,XXXX,1300,1050,2012-07-04,expired
425053,Nicaragua,Housing,1,26,Monthly,2012-05-10,2012-05-20,0,0,0,1,98,1,100.0,16,NI,Managua,12.150833 -86.268333,Personal Housing Expenses,XXXX,1500,1175,2012-06-19,expired
425054,Nicaragua,Housing,1,14,Monthly,2012-05-10,2012-05-20,0,0,0,1,98,1,100.0,14,NI,Managua,12.150833 -86.268333,Personal Housing Expenses,XXXX,1300,1150,2012-06-19,expired
425056,Peru,Transportation,1,14,Monthly,2012-04-26,2012-05-20,0,0,0,1,139,1,0.0,34,PE,Parcona,-10 -76,Taxi,XXXX,1150,1125,2012-06-19,expired
430685,Uganda,Retail,1,18,Monthly,2012-05-11,2012-05-28,0,0,1,0,65,1,0.0,10,UG,Tororo,0.75 34.083333,General Store,XXXX,825,675,2012-06-27,expired
420752,Philippines,Retail,1,8,Monthly,2012-04-18,2012-05-03,0,0,1,0,123,1,100.0,20,PH,"Casilagan, Ilagan, Isabela",13 122,Retail,XXXX,850,525,2012-06-02,expired
431078,El Salvador,Clothing,1,12,Monthly,2012-05-18,2012-06-04,N/A,0,0,1,81,1,100.0,12,SV,,13.833333 -88.916667,Clothing Sales,XXXX,625,475,2012-07-04,expired
430070,Ecuador,Services,1,14,Monthly,2012-04-25,2012-06-03,N/A,0,0,1,147,1,0.0,29,EC,Libertad,-2 -77.5,Auto Repair,XXXX,1575,1175,2012-07-03,expired
410908,Ecuador,Transportation,1,14,Monthly,2012-03-13,2012-04-12,N/A,0,0,1,190,1,0.0,14,EC,Los Bancos,-2 -77.5,Transportation,XXXX,1600,350,2012-05-12,expired
