"PartnerID","Location","Status","RiskRating","Due_Diligence","TimeAtKiva","Entrepreneurs","Total_Loans","Interest_Fee","PortfolioYield","Profitability","AverageLoanSize","DelinquencyRate","LoansAtRiskRate","DefaultRate","LossRate"
1,"Kenya(Africa) Tanzania(Africa) Uganda(Africa)","closed",0,1,87,55,26600,1,"N/A","0%","N/A","0.00%","0.00%","9.19%","0.00%"
2,"Gaza(Middle East)","closed",0,1,77,8,4400,1,"N/A","0%","N/A","0.00%","0.00%","57.16%","0.00%"
3,"Bulgaria(Eastern Europe)","closed",0,1,77,38,36700,1,"N/A","0%","N/A","0.00%","0.00%","14.46%","0.00%"
4,"Senegal(Africa)","closed",0,1,77,1220,352500,1,"N/A","0%","N/A","0.00%","0.00%","5.13%","0.01%"
5,"Nicaragua(Central America) Honduras(Central America)","closed",0,1,77,1136,399925,1,"N/A","0%","N/A","0.00%","0.00%","0.00%","0.00%"
6,"Kenya(Africa)","closed",0,1,76,1145,472200,1,"N/A","0%","N/A","0.00%","0.00%","38.00%","0.00%"
7,"Ecuador(South America)","closed",0,1,75,1917,1396800,1,"N/A","0%","N/A","0.00%","0.00%","24.14%","0.00%"
8,"Kenya(Africa) Uganda(Africa)","closed",0,1,75,135,37700,1,"N/A","0%","N/A","0.00%","0.00%","0.00%","0.00%"
9,"Cambodia(Asia)","active",5,1,74,9474,7414700,1,"27.34%","3.65%","95.23%","0.10%","0.20%","0.03%","0.00%"
10,"Tanzania(Africa)","paused",2.5,1,75,1117,704825,1,"N/A","0%","N/A","100.00%","100.00%","0.00%","0.00%"
11,"Uganda(Africa)","closed",0,1,74,306,4500,1,"N/A","0%","N/A","0.00%","0.00%","0.00%","0.00%"
13,"Honduras(Central America)","closed",0,1,72,3,1500,1,"N/A","0%","N/A","0.00%","0.00%","N/A","0.00%"
15,"Samoa(Asia)","active",2.5,1,71,5883,3321000,1,"44.28%","7.95%","11.51%","0.00%","0.08%","0.00%","0.00%"
16,"Mexico(North America)","closed",0,1,71,3374,1683000,1,"39.55%","-1.12%","N/A","0.00%","0.00%","0.00%","0.00%"
17,"Moldova(Eastern Europe)","closed",0,1,69,323,370300,1,"28.49%","-4.05%","94.98%","100.00%","100.00%","0.00%","0.00%"
18,"Mexico(North America)","active",3,1,69,4828,2778325,1,"82.74%","3.08%","5.97%","2.89%","14.68%","0.84%","0.00%"
19,"Ghana(Africa)","closed",0,1,68,600,502200,1,"N/A","0%","N/A","0.00%","0.00%","0.00%","0.00%"
20,"Nigeria(Africa)","closed",0,1,68,8596,4976700,1,"39.28%","4.81%","10.80%","0.00%","0.00%","0.00%","0.00%"
21,"Bulgaria(Eastern Europe)","closed",0,1,69,258,337600,1,"22.70%","0.33%","N/A","0.00%","0.00%","0.00%","0.00%"
22,"Togo(Africa)","closed",0,1,68,2793,2388625,1,"N/A","0%","N/A","0.00%","0.00%","20.72%","0.01%"
23,"Mozambique(Africa)","active",2.5,1,68,1945,1132200,1,"42.69%","7.17%","103.64%","0.49%","3.80%","0.00%","0.36%"
24,"Kenya(Africa)","paused",1,1,68,1019,361650,1,"N/A","0%","N/A","0.00%","0.00%","0.00%","0.00%"
25,"Kenya(Africa)","closed",0,1,68,838,697975,1,"N/A","0%","N/A","0.00%","0.00%","51.96%","0.00%"
26,"Ukraine(Eastern Europe)","active",3,1,67,3034,3712000,1,"45.27%","-15.56%","25.41%","10.18%","38.65%","0.00%","0.00%"
