Borrower_ID,Lender_final_count,LenderID_ordered_by_lending,Lender_Geo_Location,Lender_HomeTown
404442,17,eric169,,"albany, CA, United States"
404442,17,enredado,,"Alpedrete, Madrid, Spain"
404442,17,davenyol,,"bloomfield, MI, United States"
404442,17,jasonallyson539,,", , "
404442,17,davidandalicia278,,"Edgewater, NJ, United States"
404442,17,amin383,,"Tehran, Tehran, Iran, Islamic Republic of"
404442,17,shane245,,"Raleigh, NC, United States"
404442,17,carlos9428216,,"Pembroke Pines, FL, United States"
404442,17,gooddogg,,"Front Porch , , "
404442,17,maike401,,", , "
404442,17,jamesclayton948,,"Rio de Janeiro, RJ, Brazil"
404442,17,kohme,,"Rome, Lazio, Italy"
404442,17,WHY,,"New York City, prefer somewhere on a plane, "
404442,17,jamie4322243,,", , United States"
404442,17,alanrae423,,"Stillwater, Oklahoma, United States"
404442,17,lars226,,", , Germany"
404442,17,jouko194,,"Taivassalo, Suomi, "
405087,27,john197,,"Cheltenham, Gloucestershire, United Kingdom"
405087,27,ilana178,,"Santa Rosa, CA, United States"
405087,27,ronald918,,", , "
405087,27,luisella236,,"AMSTERDAM, , Netherlands"
405087,27,mary477,,"Las Vegas, NV, United States"
405087,27,doug240,,"Devon, PA, United States"
405087,27,anuzi,,"Tokyo, Shibuya-ku, Japan"
405087,27,thomas708,,"Parker, Colorado, United States"
405087,27,madelina931,,"woodside, NY, United States"
405087,27,jane,51.5073346 -0.1276831,"London, , United Kingdom"
405087,27,ashfaque949,,"Sunnyvale, CA, United States"
405087,27,jonathon963,,"London, , United Kingdom"
405087,27,craig367,,", , "
405087,27,steph691,,", , United States"
405087,27,beth669,,"Kansas City, Missouri, United States"
405087,27,kris139,,"Fairfax, VA, United States"
405087,27,erdi,,", , "
405087,27,richard970,,"meridian, ID, United States"
405087,27,jean924,,"Paris, Ontario, Canada"
405087,27,lee577,,"Sacramento, CA, United States"
405087,27,trevan502,,"Midlothian, VA, United States"
405087,27,dalal984,,"paddington, London, United Kingdom"
405087,27,robert895,,", , "
405087,27,heydaria,,", , United States"
405087,27,adam422,,", , "
405087,27,diane609,,"Knightstown, IN, United States"
405087,27,kiani721,,", , "
405873,22,jamesclayton948,,"Rio de Janeiro, RJ, Brazil"
405873,22,lacouture849,,"Paris, , France"
405873,22,shko,,"phoenix, AZ, United States"
405873,22,rick197,,"Astoria, NY, United States"
405873,22,ashley101,,"London, , United Kingdom"
405873,22,donna802,,"Humble, TX, United States"
405873,22,diane494,,"San Diego, California, United States"
405873,22,thomas708,,"Parker, Colorado, United States"
405873,22,nigel503,,"Kuala Lumpur, Selangor, Malaysia"
405873,22,paul8637916,,", , "
405873,22,laurence737,,"Philadelphia, PA, United States"
405873,22,ralph190,,"Boston, Massachusetts, United States"
405873,22,technicalschoolsguid,,"Olathe, KS, United States"
405873,22,manning248,,", , "
405873,22,aaron320,,"Cary, NC, United States"
405873,22,brian3628356,,"New York, NY, United States"
405873,22,chad120,,"Austin, TX, United States"
405873,22,marilyn594,,"Thousand Oaks, CA, United States"
405873,22,courtney736,,", , "
405873,22,laurie551,,"Raleigh, NC, United States"
405873,22,joinFIT,,"Los Angeles, CA, United States"
405873,22,don846,,"chilliwack , b.c, Canada"
411637,186,mackenzie200,,"Seattle, WA, United States"
411637,186,trolltech446,,"Oslo, , Norway"
411637,186,roberta640,,", , Italy"
411637,186,gerhard900,,", , "
411637,186,michele493,,"Somerville, Massachusetts, United States"
411637,186,chrisandchrist,,"Hilversum, Noord Holland, Netherlands"
411637,186,chris4484507,,", , "
411637,186,roland369,,"Bruxelles, , Belgium"
411637,186,paul383,,"Sth Queensferry, , United Kingdom"
411637,186,jeff194,,"Tucson, AZ, United States"
411637,186,andy648,,"Rochester, NY, United States"
411637,186,stefano640,,"london, London, United Kingdom"
411637,186,elil393,,"Geneva, , Switzerland"
411637,186,mark821,,"Navan, Co. Meath, Ireland"
411637,186,ilari741,,", , Finland"
411637,186,dariolope,,"London, London, United Kingdom"
411637,186,maryagnes302,,"Arlington, MA, United States"
411637,186,faviola630,,", , "
411637,186,vickie361,,"La Grange, TX, United States"
411637,186,elizabeth7732637,,", , "
411637,186,kay502,,"Sydney, NSW, Australia"
411637,186,paul204,,"Santa Cruz, CA, United States"
411637,186,david3926485,,"Carlisle, PA, United States"
411637,186,adamcoole,,"Des Moines, IA, United States"
411637,186,suzanne133,,"Oyster Bay, NY, United States"
411637,186,larry641,,", , "
411637,186,caroljane396,,"San Diego, CA, United States"
411637,186,marisa676,,"Boston, Massachusetts, United States"
411637,186,scott5558717,,", , "
411637,186,michael923,,"Tijuana, Baja California, Mexico"
411637,186,joy930,,", , "
411637,186,carlos964,,"Stamford, CT, United States"
