Borrower_ID,Lender_final_count,LenderID_ordered_by_lending,Lender_Geo_Location,Lender_HomeTown
404442,17,eric169,37.8903007507324 -122.299003601074,"albany, CA, United States"
404442,17,enredado,40.6587982177734 -4.02370977401733,"Alpedrete, Madrid, Spain"
404442,17,davenyol,43.9009017944336 -82.8240966796875,"bloomfield, MI, United States"
404442,17,jasonallyson539,,", , "
404442,17,davidandalicia278,40.8227996826172 -73.9758987426758,"Edgewater, NJ, United States"
404442,17,amin383,35.7393192 51.3898492,"Tehran, Tehran, Iran, Islamic Republic of"
404442,17,shane245,35.7797012329102 -78.6434020996094,"Raleigh, NC, United States"
404442,17,carlos9428216,26.0076999664307 -80.3119964599609,"Pembroke Pines, FL, United States"
404442,17,gooddogg,39.7484118 -104.9982557,"Front Porch , , "
404442,17,maike401,,", , "
404442,17,jamesclayton948,-22.9034996032715 -43.2095985412598,"Rio de Janeiro, RJ, Brazil"
404442,17,kohme,41.8954656 12.4823243,"Rome, Lazio, Italy"
404442,17,WHY,40.7143528 -74.0059731,"New York City, prefer somewhere on a plane, "
404442,17,jamie4322243,37.0901985168457 -95.7128982543945,", , United States"
404442,17,alanrae423,36.130500793457 -97.0695037841797,"Stillwater, Oklahoma, United States"
404442,17,lars226,51.165699005127 10.4514999389648,", , Germany"
404442,17,jouko194,60.5610395 21.6170204,"Taivassalo, Suomi, "
405087,27,john197,51.8979988098145 -2.07131004333496,"Cheltenham, Gloucestershire, United Kingdom"
405087,27,ilana178,38.4455986022949 -122.718002319336,"Santa Rosa, CA, United States"
405087,27,ronald918,,", , "
405087,27,luisella236,52.3737983703613 4.89095020294189,"AMSTERDAM, , Netherlands"
405087,27,mary477,36.2330017089844 -115.241996765137,"Las Vegas, NV, United States"
405087,27,doug240,40.0457992553711 -75.4320983886719,"Devon, PA, United States"
405087,27,anuzi,35.6640352 139.6982122,"Tokyo, Shibuya-ku, Japan"
405087,27,thomas708,39.5173645019531 -104.785980224609,"Parker, Colorado, United States"
405087,27,madelina931,40.7453002929688 -73.9057998657227,"woodside, NY, United States"
405087,27,jane,51.5073346 -0.1276831,"London, , United Kingdom"
405087,27,ashfaque949,37.3692016601562 -122.037002563477,"Sunnyvale, CA, United States"
405087,27,jonathon963,51.5001983642578 -0.126236006617546,"London, , United Kingdom"
405087,27,craig367,,", , "
405087,27,steph691,37.0901985168457 -95.7128982543945,", , United States"
405087,27,beth669,39.0904006958008 -94.5837020874023,"Kansas City, Missouri, United States"
405087,27,kris139,38.8515014648438 -77.2982025146484,"Fairfax, VA, United States"
405087,27,erdi,,", , "
405087,27,richard970,43.6119995117188 -116.391998291016,"meridian, ID, United States"
405087,27,jean924,43.1940994262695 -80.3844985961914,"Paris, Ontario, Canada"
405087,27,lee577,38.5736999511719 -121.486999511719,"Sacramento, CA, United States"
405087,27,trevan502,37.5037002563477 -77.6517028808594,"Midlothian, VA, United States"
405087,27,dalal984,51.5158996582031 -0.174952998757362,"paddington, London, United Kingdom"
405087,27,robert895,,", , "
405087,27,heydaria,37.0901985168457 -95.7128982543945,", , United States"
405087,27,adam422,,", , "
405087,27,diane609,39.7953987121582 -85.5261993408203,"Knightstown, IN, United States"
405087,27,kiani721,,", , "
405873,22,jamesclayton948,-22.9034996032715 -43.2095985412598,"Rio de Janeiro, RJ, Brazil"
405873,22,lacouture849,48.8567008972168 2.35099005699158,"Paris, , France"
405873,22,shko,33.448299407959 -112.073997497559,"phoenix, AZ, United States"
405873,22,rick197,40.7720985412598 -73.9300994873047,"Astoria, NY, United States"
405873,22,ashley101,51.5001983642578 -0.126236006617546,"London, , United Kingdom"
405873,22,donna802,29.9958992004395 -95.2714004516602,"Humble, TX, United States"
405873,22,diane494,32.7153292 -117.1572551,"San Diego, California, United States"
405873,22,thomas708,39.5173645019531 -104.785980224609,"Parker, Colorado, United States"
405873,22,nigel503,3.13899993896484 101.686996459961,"Kuala Lumpur, Selangor, Malaysia"
405873,22,paul8637916,,", , "
405873,22,laurence737,39.9515991210938 -75.1638031005859,"Philadelphia, PA, United States"
405873,22,ralph190,42.3588981628418 -71.0569000244141,"Boston, Massachusetts, United States"
405873,22,technicalschoolsguid,38.8835983276367 -94.8181991577148,"Olathe, KS, United States"
405873,22,manning248,,", , "
405873,22,aaron320,35.79154 -78.7811169,"Cary, NC, United States"
405873,22,brian3628356,40.7560005187988 -73.9869003295898,"New York, NY, United States"
405873,22,chad120,30.2686996459961 -97.7452011108398,"Austin, TX, United States"
405873,22,marilyn594,34.1997985839844 -118.869003295898,"Thousand Oaks, CA, United States"
405873,22,courtney736,,", , "
405873,22,laurie551,35.7797012329102 -78.6434020996094,"Raleigh, NC, United States"
405873,22,joinFIT,34.0522003173828 -118.24299621582,"Los Angeles, CA, United States"
405873,22,don846,49.146113 -121.941095,"chilliwack , b.c, Canada"
411637,186,mackenzie200,47.6209983825684 -122.34700012207,"Seattle, WA, United States"
411637,186,trolltech446,59.9137992858887 10.7386999130249,"Oslo, , Norway"
411637,186,roberta640,41.871898651123 12.5673999786377,", , Italy"
411637,186,gerhard900,,", , "
411637,186,michele493,42.3875968 -71.0994968,"Somerville, Massachusetts, United States"
411637,186,chrisandchrist,52.2291696 5.1668974,"Hilversum, Noord Holland, Netherlands"
411637,186,chris4484507,,", , "
411637,186,roland369,50.837100982666 4.36760997772217,"Bruxelles, , Belgium"
411637,186,paul383,55.9880981445312 -3.39703989028931,"Sth Queensferry, , United Kingdom"
411637,186,jeff194,32.2277984619141 -110.944000244141,"Tucson, AZ, United States"
411637,186,andy648,43.1540985107422 -77.6193008422852,"Rochester, NY, United States"
411637,186,stefano640,51.5073346 -0.1276831,"london, London, United Kingdom"
411637,186,elil393,46.203800201416 6.13995981216431,"Geneva, , Switzerland"
411637,186,mark821,53.6546019 -6.6888171,"Navan, Co. Meath, Ireland"
411637,186,ilari741,61.9240989685059 25.7481994628906,", , Finland"
411637,186,dariolope,51.5001983642578 -0.126236006617546,"London, London, United Kingdom"
411637,186,maryagnes302,42.4179000854492 -71.1650009155273,"Arlington, MA, United States"
411637,186,faviola630,,", , "
411637,186,vickie361,29.9074993133545 -96.8778991699219,"La Grange, TX, United States"
411637,186,elizabeth7732637,,", , "
411637,186,kay502,-33.8670997619629 151.207000732422,"Sydney, NSW, Australia"
411637,186,paul204,36.9779014587402 -122.032997131348,"Santa Cruz, CA, United States"
411637,186,david3926485,40.2028007507324 -77.2080993652344,"Carlisle, PA, United States"
