"Hilversum, Noord Holland, Netherlands"
"D\\u00fcsseldorf, , Germany"
"G\\u00f6teborg, , Sweden"
"Bentonville, VA, United States"
"Joelton, TN, United States"
"Jyv\\u00e4skyl\\u00e4, , Finland"
"Wyndham, New South Wales, Australia"
"Mt Stuart, Tasmania, Australia"
"Tiller, S\\u00f8r-Tr\\u00f8ndelag, Norway"
"Minia, Al Minya, Egypt"
"Richland, Washington, United States"
"De Soto, WI USA, United States"
"waupaca, WI, United States"
"Br\\u00fcttisellen, , Switzerland"
"\\u00c5gotnes, , Norway"
"Grangeville, ID 83530, United States"
"Str\\u00e4ngn\\u00e4s, , Sweden"
"Chandler's Ford, Hampshire, United Kingdom"
"NESNA, , Norway"
", PL, Poland"
"Waterhen Lake First Nation, Saskatchewan, Canada"
"\\u5e03\\u65bd\\u611b\\u8a9e, \\u5229\\u884c\\u540c\\u4e8b, Taiwan"
"http:\\\/\\\/KivaFriends.org, TN, United States"
"Mickleton, NJ, United States"
"Ra'anana, default, Israel"
"Souderton, pa, United States"
"http:\\\/\\\/KivaFriends.org, Monarch Beach, CA  USA, United States"
"north delta, bc, Canada"
"Harrison Township, Michigan, United States"
"Caballito, Distrito Federal, Argentina"
"Link\\u00f6ping, , Sweden"
"Kagoshima-shi, Kagoshima, Japan"
"Lund, Sk\\u00e5ne, Sweden"
", AZ\\\/NM, United States"
"Cibolo, Texas, United States"
"New York \\\/ Shanghai, , China"
"Inzing, Tyrol, Austria"
"Westerstede, , Germany"
"H\\u00f6rby, , Sweden"
"Bondi , New South Wales, Australia"
"Seville, Andalucia, Spain"
"Granada Hills, California, United States"
", Maine , United States"
"Wigan, , United Kingdom"
"High Wycombe , Bucks, United Kingdom"
"Byford, WA, Australia"
"Prague, cesko, Czech Republic"
"http:\\\/\\\/KivaFriends.org, Gilbert, AZ, United States"
"SEA\\\/HKG, , "
"shibuya-ku, \\u001a\\u001a\\u001a - Tokyo, Japan"
"Castelo Branco, Castelo Branco, Portugal"
"Tokyo, \\u001a\\u001a\\u001a, Japan"
"Zachary, LA, United States"
"V\\u00f8yenenga, , Norway"
"Barneveld\\\/Noordwijk, , Netherlands"
"sun valley, ID, United States"
"Qu\\u00e9bec, qc, Canada"
"Siloam Springs, Arkansas, United States"
"\\u001aSTANBUL, , Turkey"
"Merredin, Western Australia, Australia"
"eastbourne, east sussex, United Kingdom"
"http:\\\/\\\/kivafriends.org, Auburn, AL, United States"
"Tourinnes St Lambert, , Belgium"
"Kansas City, mo, United States"
"Yl\\u00f6j\\u00e4rvi, , Finland"
"Campinas, S\\u00e3o Paulo, Brazil"
", B\\u00e9arn, France"
"Pasadena , CA , United States"
"Poprad, , Slovakia"
"Plochingen, , Germany"
"Frankfurt am Main,, , Germany"
"Harwich, England, United Kingdom"
"Ciudad de Buenos Aires, Buenos Aires, Argentina"
"la chapelle d'armenti\\u00e8res, Nord, France"
"Roma, TX, United States"
"Egypt, Egypt, Egypt"
"Edgbaston, , United Kingdom"
"Bruchk\\u00f6bel, Hessen, Germany"
"Wuerzburg, Bavara, Germany"
"Beirut & Baghdad,, South, Lebanon"
"Male, MV, Maldives"
"B\\u00e6rums Verk, Akershus, Norway"
"Benfleet, Essex, United Kingdom"
"D\\u00fclmen, , Germany"
"cheshire, CT, United States"
"Whitestone, New York, United States"
"to say, NY, United States"
"rivarolo canavese, Torino, Italy"
"Farmington Hills, Michigan, United States"
"Esbo, Finland, Finland"
"http:\\\/\\\/kivafriends.org, Calgary, Canada, "
"Avoca Beach, NSW, Australia"
"Kalmar, Sm\\u00e5land, Sweden"
"K\\u00f6ln, , Germany"
"St. John\\, Newfoundland, Canada"
"Chester, Maryland, United States"
"KIRYAT-UNO, ISRAEL, Israel"
"Lithia, Fl, United States"
