52.2291696 5.1668974,"Hilversum, Noord Holland, Netherlands"
,"D\\u00fcsseldorf, , Germany"
,"G\\u00f6teborg, , Sweden"
38.831667 -78.316667,"Bentonville, VA, United States"
36.3131076 -86.8652772,"Joelton, TN, United States"
,"Jyv\\u00e4skyl\\u00e4, , Finland"
-36.9279095 149.6491043,"Wyndham, New South Wales, Australia"
-42.8716603 147.3030172,"Mt Stuart, Tasmania, Australia"
,"Tiller, S\\u00f8r-Tr\\u00f8ndelag, Norway"
28.0870967 30.7618397,"Minia, Al Minya, Egypt"
46.2856907 -119.2844621,"Richland, Washington, United States"
43.4230306 -91.1990204,"De Soto, WI USA, United States"
44.3580348 -89.0859464,"waupaca, WI, United States"
,"Br\\u00fcttisellen, , Switzerland"
,"\\u00c5gotnes, , Norway"
45.926552 -116.1223654,"Grangeville, ID 83530, United States"
,"Str\\u00e4ngn\\u00e4s, , Sweden"
50.983953 -1.379259,"Chandler's Ford, Hampshire, United Kingdom"
66.2464147 12.9318196,"NESNA, , Norway"
51.752921 19.449984,", PL, Poland"
54.515483 -108.413915,"Waterhen Lake First Nation, Saskatchewan, Canada"
,"\\u5e03\\u65bd\\u611b\\u8a9e, \\u5229\\u884c\\u540c\\u4e8b, Taiwan"
35.5174913 -86.5804473,"http:\\\/\\\/KivaFriends.org, TN, United States"
39.79 -75.238056,"Mickleton, NJ, United States"
32.184781 34.871326,"Ra'anana, default, Israel"
40.3117706 -75.3251759,"Souderton, pa, United States"
,"http:\\\/\\\/KivaFriends.org, Monarch Beach, CA  USA, United States"
49.171634 -122.910981,"north delta, bc, Canada"
42.5835951 -82.8293423,"Harrison Township, Michigan, United States"
-34.6166667 -58.45,"Caballito, Distrito Federal, Argentina"
,"Link\\u00f6ping, , Sweden"
31.5965535 130.5571158,"Kagoshima-shi, Kagoshima, Japan"
,"Lund, Sk\\u00e5ne, Sweden"
35.1401218 -103.9065427,", AZ\\\/NM, United States"
29.561618 -98.2269553,"Cibolo, Texas, United States"
31.230393 121.473704,"New York \\\/ Shanghai, , China"
47.2725999 11.1957771,"Inzing, Tyrol, Austria"
53.2550728 7.926366,"Westerstede, , Germany"
,"H\\u00f6rby, , Sweden"
-33.8938118 151.2630738,"Bondi , New South Wales, Australia"
37.38264 -5.9962951,"Seville, Andalucia, Spain"
34.2793576 -118.5021527,"Granada Hills, California, United States"
45.253783 -69.4454689,", Maine , United States"
53.54544 -2.637474,"Wigan, , United Kingdom"
51.628611 -0.748229,"High Wycombe , Bucks, United Kingdom"
-32.2217513 116.0081156,"Byford, WA, Australia"
50.0755381 14.4378005,"Prague, cesko, Czech Republic"
33.3528264 -111.789027,"http:\\\/\\\/KivaFriends.org, Gilbert, AZ, United States"
,"SEA\\\/HKG, , "
35.6894875 139.6917064,"shibuya-ku, \\u001a\\u001a\\u001a - Tokyo, Japan"
39.8253609 -7.4910995,"Castelo Branco, Castelo Branco, Portugal"
35.6894875 139.6917064,"Tokyo, \\u001a\\u001a\\u001a, Japan"
30.6485191 -91.1564961,"Zachary, LA, United States"
,"V\\u00f8yenenga, , Norway"
52.2399885 4.4500094,"Barneveld\\\/Noordwijk, , Netherlands"
43.6971294 -114.3517172,"sun valley, ID, United States"
,"Qu\\u00e9bec, qc, Canada"
36.1881365 -94.5404962,"Siloam Springs, Arkansas, United States"
,"\\u001aSTANBUL, , Turkey"
-31.4823417 118.2812988,"Merredin, Western Australia, Australia"
50.768035 0.290472,"eastbourne, east sussex, United Kingdom"
32.6098566 -85.4807825,"http:\\\/\\\/kivafriends.org, Auburn, AL, United States"
50.63932 4.72389,"Tourinnes St Lambert, , Belgium"
39.0997265 -94.5785667,"Kansas City, mo, United States"
,"Yl\\u00f6j\\u00e4rvi, , Finland"
